mat;dep;par;uf
1;ABEL MESQUITA JR. ; PDT;RR
2;EDIO LOPES ; PMDB;RR
3;CARLOS ANDRADE ; PHS;RR
4;HIRAN GONÇALVES ; PMN;RR
5;JHONATAN DE JESUS ; PRB;RR
6;MARIA HELENA ; PSB;RR
7;REMÍDIO MONAI ; PR;RR
8;SHÉRIDAN ; PSDB;RR
9;ANDRÉ ABDON ; PRB;AP
10;JANETE CAPIBERIBE ; PSB;AP
11;JOZI ROCHA ; PTB;AP
12;MARCOS REATEGUI ; PSC;AP
14;CABUÇU BORGES ; PMDB;AP
15;PROFESSORA MARCIVANIA ; PT;AP
16;VINICIUS GURGEL ; PR;AP
17;ROBERTO GÓES ; PDT;AP
18;ARNALDO JORDY ; PPS;PA
19;BETO FARO ; PT;PA
20;BETO SALAME ; PROS;PA
21;ELCIONE BARBALHO ; PMDB;PA
22;DELEGADO ÉDER MAURO ; PSD;PA
23;WLADIMIR COSTA ; SD;PA
25;ZÉ GERALDO ; PT;PA
26;JOSÉ PRIANTE ; PMDB;PA
27;EDMILSON RODRIGUES ; PSOL;PA
28;FRANCISCO CHAPADINHA ; PSD;PA
29;LÚCIO VALE ; PR;PA
30;JOSUÉ BENGTSON ; PTB;PA
31;NILSON PINTO ; PSDB;PA
32;HÉLIO LEITE ; DEM;PA
33;JOAQUIM PASSARINHO ; PSD;PA
34;JÚLIA MARINHO ; PSC;PA
35;SIMONE MORGADO ; PMDB;PA
36;ALFREDO NASCIMENTO ; PR;AM
37;ARTHUR VIRGÍLIO BISNETO ; PSDB;AM
38;ÁTILA LINS ; PSD;AM
39;SILAS CÂMARA ; PSD;AM
40;PAUDERNEY AVELINO ; DEM;AM
41;CONCEIÇÃO SAMPAIO ; PP;AM
42;HISSA ABRAHÃO ; PPS;AM
43;MARCOS ROTTA ; PMDB;AM
44;EXPEDITO NETTO ; SD;RO
45;LINDOMAR GARÇON ; PMDB;RO
46;LUCIO MOSQUINI ; PMDB;RO
47;NILTON CAPIXABA ; PTB;RO
48;LUIZ CLÁUDIO ; PR;RO
49;MARCOS ROGÉRIO ; PDT;RO
50;MARINHA RAUPP ; PMDB;RO
51;MARIANA CARVALHO ; PSDB;RO
52;ANGELIM ; PT;AC
53;ALAN RICK ; PRB;AC
54;FLAVIANO MELO ; PMDB;AC
55;CÉSAR MESSIAS ; PSB;AC
56;JÉSSICA SALES ; PMDB;AC
57;LEO DE BRITO ; PT;AC
58;SIBÁ MACHADO ; PT;AC
59;ROCHA ; PSDB;AC
60;CARLOS HENRIQUE GAGUIM ; PMDB;TO
61;DULCE MIRANDA ; PMDB;TO
62;JOSI NUNES ; PMDB;TO
63;LÁZARO BOTELHO ; PP;TO
64;CÉSAR HALUM ; PRB;TO
65;IRAJÁ ABREU ; PSD;TO
66;VICENTINHO JÚNIOR ; PSB;TO
67;PROFESSORA DORINHA SEABRA REZENDE ; DEM;TO
68;ALUISIO MENDES ; PSDC;MA
70;CLEBER VERDE ; PRB;MA
71;JULIÃO AMIN ; PDT;MA
72;ANDRÉ FUFUCA ; PEN;MA
73;ELIZIANE GAMA ; PPS;MA
74;HILDO ROCHA ; PMDB;MA
75;JOÃO CASTELO ; PSDB;MA
76;JOÃO MARCELO SOUZA ; PMDB;MA
77;JOSÉ REINALDO ; PSB;MA
78;JUNIOR MARRECA ; PEN;MA
79;JUSCELINO FILHO ; PRP;MA
80;PEDRO FERNANDES ; PTB;MA
81;RUBENS PEREIRA JÚNIOR ; PCdoB;MA
82;VICTOR MENDES ; PV;MA
83;WEVERTON ROCHA ; PDT;MA
84;WALDIR MARANHÃO ; PP;MA
85;SARNEY FILHO ; PV;MA
86;ZÉ CARLOS ; PT;MA
87;ANÍBAL GOMES ; PMDB;CE
88;CHICO LOPES ; PCdoB;CE
89;ANDRÉ FIGUEIREDO ; PDT;CE
90;ARNON BEZERRA ; PTB;CE
91;RONALDO MARTINS ; PRB;CE
92;ADAIL CARNEIRO ; PHS;CE
93;ANTONIO BALHMANN ; PROS;CE
94;CABO SABINO ; PR;CE
95;DANILO FORTE ; PMDB;CE
96;LEÔNIDAS CRISTINO ; PROS;CE
97;DOMINGOS NETO ; PROS;CE
98;LUIZIANNE LINS ; PT;CE
99;GENECIAS NORONHA ; SD;CE
100;GORETE PEREIRA ; PR;CE
101;JOSÉ AIRTON CIRILO ; PT;CE
102;RAIMUNDO GOMES DE MATOS ; PSDB;CE
103;JOSÉ GUIMARÃES ; PT;CE
104;MACEDO ; PSL;CE
105;MORONI TORGAN ; DEM;CE
106;MOSES RODRIGUES ; PPS;CE
107;ODORICO MONTEIRO ; PT;CE
108;VITOR VALIM ; PMDB;CE
109;ÁTILA LIRA ; PSB;PI
110;MARCELO CASTRO ; PMDB;PI
111;ASSIS CARVALHO ; PT;PI
112;CAPITÃO FÁBIO ABREU ; PTB;PI
113;IRACEMA PORTELLA ; PP;PI
114;JÚLIO CESAR ; PSD;PI
115;HERÁCLITO FORTES ; PSB;PI
116;REJANE DIAS ; PT;PI
117;RODRIGO MARTINS ; PSB;PI
118;PAES LANDIM ; PTB;PI
119;FÁBIO FARIA ; PSD;RN
120;FELIPE MAIA ; DEM;RN
121;ANTÔNIO JÁCOME ; PMN;RN
122;BETO ROSADO ; PP;RN
123;RAFAEL MOTTA ; PROS;RN
124;ROGÉRIO MARINHO ; PSDB;RN
125;WALTER ALVES ; PMDB;RN
126;ZENAIDE MAIA ; PR;RN
127;DAMIÃO FELICIANO ; PDT;PB
128;EFRAIM FILHO ; DEM;PB
129;AGUINALDO RIBEIRO ; PP;PB
130;MANOEL JUNIOR ; PMDB;PB
131;BENJAMIN MARANHÃO ; SD;PB
132;HUGO MOTTA ; PMDB;PB
133;LUIZ COUTO ; PT;PB
134;RÔMULO GOUVEIA ; PSD;PB
135;PEDRO CUNHA LIMA ; PSDB;PB
136;WELLINGTON ROBERTO ; PR;PB
137;VENEZIANO VITAL DO RÊGO ; PMDB;PB
138;ADALBERTO CAVALCANTI ; PTB;PE
139;WILSON FILHO ; PTB;PB
140;ANDRÉ DE PAULA ; PSD;PE
141;BETINHO GOMES ; PSDB;PE
142;ANDERSON FERREIRA ; PR;PE
143;GONZAGA PATRIOTA ; PSB;PE
144;DANIEL COELHO ; PSDB;PE
145;FELIPE CARRERAS ; PSB;PE
146;BRUNO ARAÚJO ; PSDB;PE
